Year,Month,Date,Vendor,Amount,Category,Section,Checking Balance,Type,,,,
2013,January,1/2/2013,Netflix,$16.46 ,TV,Utilities,"$3,788.39 ",Expense,,,,
2013,January,1/2/2013,BJs,$47.61 ,Groceries,Food,"$3,740.78 ",Expense,,,,
2013,January,1/3/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$7,153.58 ",Income,,,,
2013,January,1/3/2013,Verizon Wireless,$156.55 ,Cell Phone,Utilities,"$6,997.03 ",Expense,,,,
2013,January,1/3/2013,BB&T,"$1,515.59 ",Mortgage,Housing,"$5,481.44 ",Expense,,,,
2013,January,1/3/2013,BB&T,$329.00 ,Property Taxes,Housing,"$5,152.44 ",Expense,,,,
2013,January,1/3/2013,BB&T,$72.00 ,Property Insurance,Housing,"$5,080.44 ",Expense,,,,
2013,January,1/3/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$5,056.24 ",Expense,,,,
2013,January,1/3/2013,FEHB,$97.32 ,Health Insurance,Medical,"$4,958.92 ",Expense,,,,
2013,January,1/3/2013,OASDI,$205.56 ,Social Security,Taxes,"$4,753.36 ",Expense,,,,
2013,January,1/3/2013,Federal Tax,$285.59 ,Federal Taxes,Taxes,"$4,467.77 ",Expense,,,,
2013,January,1/3/2013,Medicare,$48.07 ,Medicare,Taxes,"$4,419.70 ",Expense,,,,
2013,January,1/3/2013,State Tax,$191.25 ,State Taxes,Taxes,"$4,228.45 ",Expense,,,,
2013,January,1/3/2013,FERS,$27.30 ,FERS,Retirement,"$4,201.15 ",Expense,,,,
2013,January,1/4/2013,Walmart,$30.62 ,Children Clothes,Clothing,"$4,170.53 ",Expense,,,,
2013,January,1/4/2013,BJs,$36.31 ,Gas,Transportation,"$4,134.22 ",Expense,,,,
2013,January,1/4/2013,BJs,$30.00 ,Baby Supplies,Personal,"$4,104.22 ",Expense,,,,
2013,January,1/4/2013,BJs,$53.34 ,Groceries,Food,"$4,050.88 ",Expense,,,,
2013,January,1/7/2013,USPS,$5.15 ,Gifts,Personal,"$4,045.73 ",Expense,,,,
2013,January,1/7/2013,Amazon,$15.58 ,Supplements,Personal,"$4,030.15 ",Expense,,,,
2013,January,1/7/2013,Quiznos,$17.35 ,FUN,Personal,"$4,012.80 ",Expense,,,,
2013,January,1/7/2013,UPS,$17.69 ,Gifts,Personal,"$3,995.11 ",Expense,,,,
2013,January,1/7/2013,Safeway,$47.59 ,Gas,Transportation,"$3,947.52 ",Expense,,,,
2013,January,1/7/2013,MOMs,$56.50 ,Groceries,Food,"$3,891.02 ",Expense,,,,
2013,January,1/8/2013,BJs,$6.86 ,Misc.,Personal,"$3,884.16 ",Expense,,,,
2013,January,1/8/2013,Comcast,$70.37 ,Internet,Utilities,"$3,813.79 ",Expense,,,,
2013,January,1/8/2013,La Plata Baptist Church,$500.00 ,Charity,Charity,"$3,313.79 ",Expense,,,,
2013,January,1/10/2012,Red Robin,$12.00 ,Misc.,Personal,"$3,301.79 ",Expense,,,,
2013,January,1/11/2013,BJs,$36.83 ,Gas,Transportation,"$3,264.96 ",Expense,,,,
2013,January,1/14/2013,MOMs,$61.62 ,Groceries,Food,"$3,203.34 ",Expense,,,,
2013,January,1/14/2013,Chick-Fil-A,$17.22 ,Misc.,Personal,"$3,186.12 ",Expense,,,,
2013,January,1/14/2013,Sweet Frog,$7.48 ,Misc.,Personal,"$3,178.64 ",Expense,,,,
2013,January,1/14/2013,ATM Deposit,$50.00 ,Other Income,Gross Income,"$3,228.64 ",Income,,,,
2013,January,1/14/2013,Sweet Frog,$7.55 ,Restaurants,Food,"$3,221.09 ",Expense,,,,
2013,January,1/14/2013,Fandango,$17.50 ,Entertainment,Recreation,"$3,203.59 ",Expense,,,,
2013,January,1/14/2013,Szechuan Garden,$51.75 ,Restaurants,Food,"$3,151.84 ",Expense,,,,
2013,January,1/15/2013,Sea Wings Cafe,$8.73 ,Restaurants,Food,"$3,143.11 ",Expense,,,,
2013,January,1/16/2013,Sallie Mae,$82.06 ,Rachel Sallie Mae,Debts,"$3,061.05 ",Expense,,,,
2013,January,1/17/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$6,473.85 ",Income,,,,
2013,January,1/17/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$6,449.65 ",Expense,,,,
2013,January,1/17/2013,FEHB,$97.32 ,Health Insurance,Medical,"$6,352.33 ",Expense,,,,
2013,January,1/17/2013,OASDI,$205.56 ,Social Security,Taxes,"$6,146.77 ",Expense,,,,
